Status,Age Group,Education,Industry,Location,AI Risk,Years of Experience,Monthly Salary (INR),Date Recorded
Employed,55+,Bachelor’s,Healthcare,Delhi,Medium,,104800.0,2024-01-04
Unemployed,35-44,Master's,,Bangalore,Low,7.0,95700.0,2024-01-05
,,High school,Finance,Hyderabad,,,36700.0,2024-01-06
Employed,,High school,Retail,Bangalore,,28.0,,2024-01-07
Unemployed,45-54,PhD,Education,Suburban,High,13.0,,2024-01-08
Unemployed,45-54,Diploma,Healthcare,Hyderabad,High,,116000.0,2024-01-09
Unemployed,45-54,Master's,Education,Rural,Medium,2.0,29300.0,2024-01-10
Unemployed,18-24,High school,,Bangalore,High,,24700.0,2024-01-11
Employed,55+,PhD,Retail,Mumbai,Low,,36200.0,2024-01-12
Unemployed,25-34,Master's,Education,Delhi,Medium,10.0,17800.0,2024-01-13
Unemployed,18-24,Master's,Healthcare,Urban,Medium,11.0,52900.0,2024-01-14
Unemployed,35-44,Master's,Retail,,Low,,141000.0,2024-01-15
Unemployed,45-54,High school,Retail,Rural,High,,90300.0,2024-01-16
Employed,25-34,,Finance,Urban,,30.0,139000.0,2024-01-17
Employed,35-44,Bachelor’s,Technology,Bangalore,High,,63200.0,2024-01-18
Unemployed,,PhD,Technology,Urban,Medium,,94400.0,2024-01-19
Unemployed,35-44,PhD,Technology,Delhi,Low,0.0,34800.0,2024-01-20
,25-34,Master's,Finance,Rural,High,,61200.0,2024-01-21
Employed,35-44,,Healthcare,Rural,High,29.0,138400.0,2024-01-22
Employed,18-24,High school,Technology,Urban,Medium,,97300.0,2024-01-23
Unemployed,18-24,High school,Healthcare,Mumbai,Medium,29.0,64300.0,2024-01-24
Employed,25-34,Bachelor’s,,Bangalore,Medium,,59100.0,2024-01-25
Unemployed,,Master's,Retail,Suburban,,19.0,92700.0,2024-01-26
Unemployed,25-34,Master's,Retail,Urban,Medium,24.0,64900.0,2024-01-27
Unemployed,18-24,Master's,Technology,Delhi,High,,45800.0,2024-01-28
,25-34,Master's,Retail,Urban,High,26.0,120000.0,2024-01-29
Employed,35-44,,Technology,Mumbai,High,11.0,134400.0,2024-01-30
Unemployed,25-34,Bachelor’s,Education,Bangalore,Low,1.0,106500.0,2024-01-31
Unemployed,55+,Master's,,Bangalore,,,140000.0,2024-02-01
Employed,18-24,Master's,Retail,Urban,Low,16.0,,2024-02-02
,18-24,Master's,Education,Delhi,Medium,,,2024-02-03
Employed,45-54,Bachelor’s,Education,Hyderabad,Low,,86300.0,2024-02-04
Unemployed,35-44,PhD,Retail,Suburban,Medium,,39500.0,2024-02-05
Unemployed,25-34,,Retail,Delhi,Medium,,71000.0,2024-02-06
Unemployed,18-24,,Healthcare,,Low,29.0,,2024-02-07
Employed,,Master's,Healthcare,Delhi,Medium,,131000.0,2024-02-08
Employed,18-24,PhD,Education,Mumbai,High,,42600.0,2024-02-09
,18-24,Bachelor’s,Technology,Mumbai,High,10.0,86700.0,2024-02-10
Unemployed,18-24,Bachelor’s,Education,Urban,High,,,2024-02-11
Employed,25-34,Master's,,Rural,Medium,,21500.0,2024-02-12
Unemployed,,Diploma,,Rural,Low,15.0,100400.0,2024-02-13
Employed,45-54,Master's,Technology,Mumbai,High,,,2024-02-14
Employed,45-54,PhD,Retail,Rural,,15.0,111300.0,2024-02-15
Employed,45-54,High school,Finance,Rural,High,,,2024-02-16
Employed,,Master's,Finance,Urban,High,23.0,100900.0,2024-02-17
Employed,25-34,,Education,Delhi,,,36600.0,2024-02-18
Unemployed,18-24,PhD,Retail,Suburban,High,5.0,46300.0,2024-02-19
Employed,25-34,PhD,Technology,Suburban,Medium,19.0,,2024-02-20
Unemployed,25-34,PhD,Technology,Urban,Medium,,,2024-02-21
Employed,,Master's,Technology,Rural,Low,,115600.0,2024-02-22
Unemployed,45-54,PhD,Retail,,Low,,,2024-02-23
Unemployed,,High school,Healthcare,Suburban,Medium,30.0,8600.0,2024-02-24
,35-44,High school,Education,Bangalore,High,,117600.0,2024-02-25
Employed,35-44,High school,Finance,Bangalore,Low,,12400.0,2024-02-26
Employed,45-54,Bachelor’s,Education,Hyderabad,High,5.0,119200.0,2024-02-27
Unemployed,18-24,Master's,Technology,Hyderabad,High,,109300.0,2024-02-28
Employed,45-54,Master's,Retail,Hyderabad,Medium,,84700.0,2024-02-29
Employed,18-24,Bachelor’s,Finance,Urban,Low,,9100.0,2024-03-01
Employed,,Bachelor’s,Education,Urban,,9.0,88800.0,2024-03-02
Unemployed,25-34,Bachelor’s,Technology,Hyderabad,Medium,2.0,16000.0,2024-03-03
Employed,25-34,High school,Retail,,Low,,58000.0,2024-03-04
Unemployed,18-24,Master's,Education,Suburban,Low,6.0,18300.0,2024-03-05
Unemployed,55+,Bachelor’s,Technology,Rural,Medium,,,2024-03-06
Unemployed,18-24,Bachelor’s,Healthcare,Suburban,High,,,2024-03-07
Employed,18-24,High school,Finance,,High,,,2024-03-08
Unemployed,18-24,High school,Education,Hyderabad,Low,20.0,14700.0,2024-03-09
Employed,18-24,High school,Retail,Bangalore,Low,21.0,,2024-03-10
Employed,18-24,High school,Healthcare,Urban,Medium,,117800.0,2024-03-11
Unemployed,55+,Master's,Finance,Bangalore,Medium,,50800.0,2024-03-12
Unemployed,55+,Diploma,Healthcare,Delhi,High,4.0,73300.0,2024-03-13
Employed,25-34,Master's,Healthcare,Bangalore,Low,,17700.0,2024-03-14
Unemployed,25-34,Master's,Finance,Urban,Medium,3.0,,2024-03-15
Employed,45-54,Bachelor’s,Retail,Hyderabad,High,23.0,120500.0,2024-03-16
Employed,25-34,PhD,Finance,Urban,Low,,15000.0,2024-03-17
Employed,,Master's,Technology,Mumbai,Low,14.0,21300.0,2024-03-18
Unemployed,45-54,Bachelor’s,,Delhi,Low,,116000.0,2024-03-19
Employed,18-24,Master's,Technology,Suburban,Low,16.0,,2024-03-20
Unemployed,18-24,,Finance,Rural,High,7.0,121300.0,2024-03-21
Employed,,Diploma,Retail,Delhi,Medium,3.0,103300.0,2024-03-22
Employed,25-34,PhD,Technology,Urban,High,29.0,90500.0,2024-03-23
,45-54,High school,Healthcare,Mumbai,,4.0,131700.0,2024-03-24
,25-34,High school,,Bangalore,Medium,,20600.0,2024-03-25
Employed,25-34,Bachelor’s,Healthcare,Mumbai,High,,135400.0,2024-03-26
Unemployed,25-34,PhD,Retail,Urban,High,,47700.0,2024-03-27
Employed,,High school,Technology,Bangalore,,19.0,130300.0,2024-03-28
Employed,25-34,High school,Healthcare,Urban,High,29.0,144500.0,2024-03-29
Unemployed,18-24,High school,,Mumbai,Medium,,106600.0,2024-03-30
,,Bachelor’s,Finance,Delhi,High,30.0,75200.0,2024-03-31
Unemployed,35-44,Master's,Technology,Suburban,High,,5100.0,2024-04-01
,35-44,PhD,Healthcare,Hyderabad,Low,7.0,145100.0,2024-04-02
,25-34,High school,Healthcare,,Medium,,57500.0,2024-04-03
Employed,25-34,Master's,Finance,Urban,High,,74500.0,2024-04-04
Unemployed,55+,Master's,Finance,Suburban,High,,105900.0,2024-04-05
,,Diploma,Technology,Mumbai,High,17.0,28200.0,2024-04-06
Unemployed,45-54,PhD,Technology,Delhi,Medium,,84500.0,2024-04-07
Unemployed,55+,High school,Healthcare,Bangalore,High,,147100.0,2024-04-08
,25-34,Bachelor’s,Technology,Suburban,High,17.0,10500.0,2024-04-09
Employed,45-54,,Finance,Urban,Low,16.0,86900.0,2024-04-10
Unemployed,25-34,Bachelor’s,Finance,Hyderabad,Low,,105200.0,2024-04-11
Employed,35-44,,Technology,Urban,,,,2024-04-12
Employed,55+,PhD,Healthcare,Urban,Medium,,134500.0,2024-04-13
,35-44,,Education,Rural,High,,147200.0,2024-04-14
Unemployed,35-44,PhD,Retail,,Low,,81500.0,2024-04-15
Employed,55+,Bachelor’s,Technology,Mumbai,Medium,5.0,16200.0,2024-04-16
Employed,35-44,High school,Technology,Bangalore,Medium,20.0,136000.0,2024-04-17
Employed,,High school,Finance,Delhi,,,,2024-04-18
Unemployed,18-24,,Retail,Bangalore,High,,29800.0,2024-04-19
Unemployed,25-34,Diploma,Retail,Bangalore,,5.0,,2024-04-20
Employed,55+,PhD,,Hyderabad,Medium,22.0,115100.0,2024-04-21
Employed,45-54,,Healthcare,Suburban,Medium,0.0,75100.0,2024-04-22
Employed,25-34,Bachelor’s,Healthcare,Urban,High,17.0,98200.0,2024-04-23
Unemployed,55+,PhD,,Suburban,High,18.0,86000.0,2024-04-24
Employed,45-54,Bachelor’s,Education,,High,6.0,29900.0,2024-04-25
Employed,25-34,Bachelor’s,Healthcare,,Low,1.0,114500.0,2024-04-26
Unemployed,45-54,PhD,Technology,Urban,Medium,25.0,,2024-04-27
Unemployed,35-44,Bachelor’s,Technology,,Medium,,67500.0,2024-04-28
Unemployed,,Diploma,Finance,,,,149000.0,2024-04-29
Employed,18-24,PhD,Healthcare,Urban,High,26.0,6800.0,2024-04-30
Employed,25-34,Bachelor’s,Finance,Bangalore,High,26.0,64900.0,2024-05-01
Unemployed,18-24,Bachelor’s,Retail,Urban,High,7.0,146300.0,2024-05-02
Unemployed,35-44,Bachelor’s,Healthcare,Suburban,Medium,,55600.0,2024-05-03
Employed,18-24,Diploma,Finance,Urban,Low,,,2024-05-04
Employed,,Diploma,Retail,,High,,,2024-05-05
Employed,18-24,Bachelor’s,Finance,Mumbai,Low,29.0,51100.0,2024-05-06
Unemployed,35-44,Master's,Retail,Urban,High,16.0,11000.0,2024-05-07
Employed,55+,PhD,Technology,Urban,Medium,19.0,62800.0,2024-05-08
Unemployed,18-24,Bachelor’s,Healthcare,Delhi,Medium,,,2024-05-09
Employed,18-24,Bachelor’s,Technology,Urban,High,26.0,46000.0,2024-05-10
Employed,18-24,Master's,Education,Urban,Medium,24.0,,2024-05-11
Employed,55+,Master's,Technology,Mumbai,Medium,0.0,105500.0,2024-05-12
,,Bachelor’s,Finance,Suburban,High,,62600.0,2024-05-13
Employed,25-34,High school,Retail,Urban,High,,60200.0,2024-05-14
Unemployed,55+,Bachelor’s,,Suburban,Low,5.0,87200.0,2024-05-15
Employed,35-44,PhD,Retail,Mumbai,,,118000.0,2024-05-16
Unemployed,,PhD,Healthcare,Urban,High,,,2024-05-17
Employed,55+,Diploma,Education,Urban,Low,5.0,17400.0,2024-05-18
Employed,25-34,PhD,Finance,Urban,,27.0,,2024-05-19
,25-34,PhD,Healthcare,Hyderabad,Medium,10.0,,2024-05-20
Employed,25-34,PhD,Healthcare,Mumbai,,11.0,137600.0,2024-05-21
,18-24,PhD,Healthcare,Rural,Low,14.0,,2024-05-22
Employed,18-24,,Healthcare,Rural,High,,68800.0,2024-05-23
Employed,,Bachelor’s,Retail,Urban,High,,107000.0,2024-05-24
Employed,45-54,High school,,Urban,Low,7.0,63500.0,2024-05-25
Unemployed,18-24,High school,,Bangalore,Low,0.0,47400.0,2024-05-26
,,Bachelor’s,Finance,Urban,Medium,3.0,99800.0,2024-05-27
Employed,35-44,Master's,Technology,Suburban,Medium,23.0,34900.0,2024-05-28
Employed,35-44,PhD,Finance,Bangalore,Medium,,82800.0,2024-05-29
Employed,18-24,PhD,Technology,Mumbai,,27.0,107800.0,2024-05-30
Unemployed,18-24,Bachelor’s,Education,Urban,Low,,54500.0,2024-05-31
Employed,18-24,PhD,Retail,Urban,Medium,,47100.0,2024-06-01
Employed,,Diploma,Retail,Urban,Low,1.0,15000.0,2024-06-02
Employed,18-24,Diploma,Retail,Delhi,Low,,94500.0,2024-06-03
Unemployed,18-24,PhD,Technology,,High,,27200.0,2024-06-04
Unemployed,18-24,Master's,Retail,Suburban,Low,18.0,100400.0,2024-06-05
Unemployed,,PhD,Technology,Suburban,High,5.0,34100.0,2024-06-06
Unemployed,55+,,,Mumbai,Medium,,,2024-06-07
Unemployed,45-54,High school,Education,,Medium,,8000.0,2024-06-08
,45-54,,Technology,Suburban,Low,,,2024-06-09
Unemployed,35-44,PhD,Technology,Hyderabad,Low,,130500.0,2024-06-10
Unemployed,35-44,Master's,Finance,Urban,Low,,122900.0,2024-06-11
Unemployed,55+,Bachelor’s,Healthcare,Mumbai,High,4.0,93400.0,2024-06-12
Employed,35-44,,Retail,Urban,Medium,21.0,77700.0,2024-06-13
Unemployed,45-54,Master's,Technology,Hyderabad,Low,,52400.0,2024-06-14
,,Bachelor’s,Finance,Rural,Low,27.0,,2024-06-15
Unemployed,,High school,Technology,Hyderabad,Medium,13.0,37300.0,2024-06-16
Unemployed,55+,Master's,Education,Urban,High,19.0,96700.0,2024-06-17
Employed,55+,Bachelor’s,,Urban,High,,8200.0,2024-06-18
,18-24,PhD,Healthcare,Urban,Low,,,2024-06-19
Unemployed,55+,,Finance,Urban,High,11.0,72100.0,2024-06-20
Employed,55+,,Technology,,Medium,,9800.0,2024-06-21
Unemployed,25-34,Diploma,Education,Bangalore,High,,24600.0,2024-06-22
Unemployed,55+,Diploma,Education,Bangalore,High,,133700.0,2024-06-23
Employed,,High school,Retail,Bangalore,Medium,,21400.0,2024-06-24
Employed,18-24,PhD,Retail,Delhi,Medium,0.0,138700.0,2024-06-25
,45-54,,Finance,Mumbai,,,125500.0,2024-06-26
Employed,18-24,High school,Education,Rural,Medium,,87400.0,2024-06-27
Unemployed,18-24,Master's,Healthcare,Hyderabad,Low,13.0,133300.0,2024-06-28
Employed,45-54,Bachelor’s,Finance,Mumbai,High,28.0,24100.0,2024-06-29
Employed,25-34,,Finance,Suburban,Medium,25.0,64600.0,2024-06-30
,25-34,Bachelor’s,Technology,Urban,Low,23.0,108700.0,2024-07-01
Employed,,Master's,Finance,,Medium,,38500.0,2024-07-02
,55+,Bachelor’s,Technology,Delhi,Medium,28.0,40400.0,2024-07-03
Unemployed,,Bachelor’s,Healthcare,Bangalore,Low,20.0,17200.0,2024-07-04
Unemployed,18-24,High school,Finance,Bangalore,Medium,,132900.0,2024-07-05
Unemployed,35-44,Diploma,Education,Rural,,13.0,102800.0,2024-07-06
Employed,55+,Bachelor’s,Finance,Hyderabad,,25.0,95600.0,2024-07-07
Unemployed,25-34,,Finance,Rural,Medium,,69500.0,2024-07-08
,45-54,Bachelor’s,Healthcare,Urban,Medium,10.0,86000.0,2024-07-09
Employed,18-24,Master's,Healthcare,Urban,,3.0,140800.0,2024-07-10
Unemployed,55+,High school,Technology,Hyderabad,High,,84700.0,2024-07-11
Unemployed,25-34,PhD,Finance,,High,,56600.0,2024-07-12
,35-44,,Retail,Delhi,High,22.0,66700.0,2024-07-13
Unemployed,55+,Master's,Finance,Bangalore,Medium,,96400.0,2024-07-14
Employed,18-24,,Retail,Rural,High,0.0,101400.0,2024-07-15
Employed,18-24,,Finance,Bangalore,,21.0,37300.0,2024-07-16
Unemployed,35-44,PhD,Retail,Bangalore,High,,124400.0,2024-07-17
Unemployed,18-24,Bachelor’s,Technology,Bangalore,High,,128000.0,2024-07-18
Unemployed,45-54,Diploma,Retail,Rural,Low,16.0,,2024-07-19
Employed,18-24,Master's,Healthcare,Hyderabad,Medium,,34700.0,2024-07-20
Unemployed,45-54,High school,Technology,Urban,Medium,,34700.0,2024-07-21
Unemployed,45-54,Bachelor’s,Technology,Delhi,Low,7.0,,2024-07-22
Unemployed,45-54,High school,Healthcare,Hyderabad,Low,3.0,,2024-07-23
Unemployed,18-24,Bachelor’s,Healthcare,Urban,Low,,117800.0,2024-07-24
Employed,25-34,PhD,Retail,Urban,Medium,,69500.0,2024-07-25
,18-24,PhD,Retail,Mumbai,Medium,18.0,148400.0,2024-07-26
Unemployed,25-34,PhD,Retail,Urban,Low,,,2024-07-27
Employed,25-34,High school,Retail,Rural,,,61600.0,2024-07-28
Unemployed,,PhD,Education,,Low,,83100.0,2024-07-29
Employed,55+,Master's,Education,Mumbai,Low,,,2024-07-30
Unemployed,25-34,Bachelor’s,Finance,Rural,Medium,23.0,140600.0,2024-07-31
Employed,18-24,Bachelor’s,Education,Hyderabad,Low,28.0,,2024-08-01
Unemployed,25-34,Master's,,Urban,Low,13.0,57100.0,2024-08-02
Employed,55+,Master's,Retail,Suburban,High,4.0,97800.0,2024-08-03
Employed,18-24,PhD,Retail,Hyderabad,Medium,0.0,86600.0,2024-08-04
Employed,45-54,Bachelor’s,Healthcare,Hyderabad,Low,,,2024-08-05
Unemployed,25-34,PhD,Healthcare,Urban,,,,2024-08-06
Employed,,Master's,Healthcare,Urban,Low,27.0,103400.0,2024-08-07
Unemployed,55+,,Retail,Hyderabad,High,10.0,88800.0,2024-08-08
,45-54,,Education,Urban,Low,29.0,133800.0,2024-08-09
Employed,25-34,,Healthcare,Urban,,,36200.0,2024-08-10
Unemployed,,High school,Finance,Mumbai,Low,,,2024-08-11
Employed,,Master's,Finance,Urban,Medium,,103800.0,2024-08-12
Unemployed,18-24,High school,Healthcare,Rural,Low,1.0,109300.0,2024-08-13
Unemployed,25-34,Master's,Technology,Hyderabad,High,28.0,73000.0,2024-08-14
Unemployed,18-24,Master's,Healthcare,Suburban,High,,102400.0,2024-08-15
Unemployed,45-54,Master's,Healthcare,Delhi,Low,,140300.0,2024-08-16
Employed,35-44,High school,Healthcare,Urban,High,,32800.0,2024-08-17
Employed,45-54,,Healthcare,Delhi,Medium,,132400.0,2024-08-18
Employed,55+,PhD,Retail,Hyderabad,,,15200.0,2024-08-19
Unemployed,45-54,Bachelor’s,,Urban,High,,60600.0,2024-08-20
Unemployed,45-54,Diploma,Retail,Urban,High,19.0,70900.0,2024-08-21
Employed,25-34,Master's,Healthcare,Hyderabad,Low,11.0,132100.0,2024-08-22
Employed,45-54,High school,Finance,Bangalore,Medium,,146900.0,2024-08-23
Unemployed,35-44,Master's,Healthcare,Delhi,Low,18.0,74600.0,2024-08-24
Employed,,Diploma,Finance,Delhi,High,,145600.0,2024-08-25
Employed,,Diploma,Technology,Delhi,,,,2024-08-26
Unemployed,35-44,PhD,Technology,Hyderabad,Low,29.0,30700.0,2024-08-27
Employed,45-54,PhD,Technology,Suburban,High,15.0,,2024-08-28
Employed,55+,PhD,Technology,Suburban,High,,11200.0,2024-08-29
Unemployed,,Master's,Retail,Bangalore,Medium,,18100.0,2024-08-30
Employed,,High school,Education,Urban,High,,43100.0,2024-08-31
Unemployed,45-54,PhD,Technology,Urban,Medium,,62600.0,2024-09-01
Unemployed,25-34,Master's,,Rural,,19.0,137500.0,2024-09-02
Employed,18-24,Bachelor’s,Healthcare,Suburban,Medium,7.0,87900.0,2024-09-03
Employed,,Bachelor’s,,Rural,,28.0,,2024-09-04
Employed,25-34,High school,Finance,Rural,Medium,,,2024-09-05
Employed,25-34,PhD,Retail,Suburban,Low,,118800.0,2024-09-06
Unemployed,25-34,High school,Education,Bangalore,High,21.0,144100.0,2024-09-07
Employed,18-24,Bachelor’s,Healthcare,Mumbai,Low,9.0,,2024-09-08
Unemployed,,,Technology,Suburban,Medium,22.0,49500.0,2024-09-09
Unemployed,25-34,Diploma,Healthcare,,Low,29.0,117500.0,2024-09-10
Unemployed,18-24,High school,Technology,Delhi,High,,109800.0,2024-09-11
Employed,18-24,,Finance,Urban,High,,65500.0,2024-09-12
,45-54,PhD,Technology,Urban,Low,14.0,30000.0,2024-09-13
Employed,18-24,Master's,Education,Rural,Medium,,62100.0,2024-09-14
Employed,25-34,Master's,,Urban,Low,14.0,104400.0,2024-09-15
Unemployed,,PhD,Education,Delhi,Low,,116100.0,2024-09-16
Employed,,High school,Technology,Hyderabad,High,,58700.0,2024-09-17
Unemployed,18-24,Master's,Technology,,Medium,,19000.0,2024-09-18
Employed,18-24,Diploma,Retail,Urban,Low,14.0,143200.0,2024-09-19
,25-34,,Retail,Bangalore,Low,,10100.0,2024-09-20
,35-44,Bachelor’s,Healthcare,Hyderabad,Medium,22.0,147100.0,2024-09-21
Employed,45-54,,Healthcare,Delhi,High,,,2024-09-22
Employed,25-34,Bachelor’s,Technology,Hyderabad,High,,87800.0,2024-09-23
Employed,55+,High school,Technology,Rural,Low,,75000.0,2024-09-24
Unemployed,25-34,Bachelor’s,Finance,Bangalore,Medium,14.0,51800.0,2024-09-25
Employed,,Bachelor’s,Education,,Medium,,,2024-09-26
Employed,18-24,High school,Technology,Hyderabad,High,,96300.0,2024-09-27
Unemployed,35-44,PhD,Retail,Delhi,High,,64500.0,2024-09-28
Unemployed,55+,High school,Technology,Delhi,High,9.0,,2024-09-29
,18-24,Master's,Retail,Urban,Medium,17.0,,2024-09-30
Employed,18-24,,Healthcare,Suburban,High,15.0,30100.0,2024-10-01
Unemployed,45-54,PhD,Technology,Suburban,Low,,101500.0,2024-10-02
Unemployed,25-34,High school,,Hyderabad,Medium,18.0,86300.0,2024-10-03
Employed,55+,High school,Finance,,High,,,2024-10-04
Unemployed,,Master's,Finance,Hyderabad,High,,90400.0,2024-10-05
Unemployed,35-44,Bachelor’s,Technology,Mumbai,Low,16.0,118500.0,2024-10-06
Employed,18-24,,Education,Delhi,,2.0,23900.0,2024-10-07
Unemployed,25-34,Diploma,,Mumbai,Low,10.0,,2024-10-08
Employed,18-24,Bachelor’s,Healthcare,Bangalore,Medium,23.0,113800.0,2024-10-09
Unemployed,55+,Master's,Technology,Delhi,Low,8.0,132700.0,2024-10-10
Employed,25-34,Master's,Technology,Bangalore,High,2.0,26800.0,2024-10-11
Unemployed,18-24,Master's,,Rural,Medium,10.0,52200.0,2024-10-12
Employed,35-44,High school,Healthcare,Mumbai,,,55000.0,2024-10-13
Unemployed,18-24,Master's,Technology,Delhi,,30.0,99500.0,2024-10-14
Employed,45-54,Master's,Technology,,High,,104400.0,2024-10-15
,18-24,PhD,Healthcare,Urban,High,7.0,99600.0,2024-10-16
Employed,25-34,Bachelor’s,Healthcare,Urban,Medium,26.0,112300.0,2024-10-17
Employed,18-24,Diploma,Retail,Rural,Medium,,,2024-10-18
,55+,Diploma,Finance,,High,9.0,9500.0,2024-10-19
Employed,18-24,Master's,Retail,Rural,,,16400.0,2024-10-20
Employed,35-44,,,Hyderabad,Medium,0.0,147800.0,2024-10-21
Unemployed,55+,Bachelor’s,Healthcare,Hyderabad,,2.0,,2024-10-22
Unemployed,25-34,PhD,Finance,Urban,High,26.0,43900.0,2024-10-23
Unemployed,25-34,Diploma,Technology,Rural,Medium,,,2024-10-24
Unemployed,18-24,High school,Finance,Bangalore,High,,123100.0,2024-10-25
Employed,35-44,,Retail,Mumbai,Low,,59500.0,2024-10-26
Employed,18-24,Diploma,Retail,Hyderabad,High,,,2024-10-27
Unemployed,25-34,Bachelor’s,Technology,,High,,115400.0,2024-10-28
Unemployed,45-54,Diploma,,Urban,Medium,,13100.0,2024-10-29
Employed,35-44,PhD,Finance,,Low,5.0,,2024-10-30
Employed,55+,PhD,Healthcare,,,16.0,,2024-10-31
Employed,,Bachelor’s,Retail,Urban,High,28.0,,2024-11-01
Employed,25-34,,Technology,Bangalore,High,,130800.0,2024-11-02
Employed,55+,PhD,Technology,Suburban,,,133400.0,2024-11-03
,25-34,PhD,Finance,Rural,,24.0,100300.0,2024-11-04
Employed,55+,,Healthcare,Delhi,Low,,68800.0,2024-11-05
Employed,55+,PhD,,Urban,High,5.0,22700.0,2024-11-06
Employed,18-24,PhD,Technology,,,2.0,58400.0,2024-11-07
Employed,25-34,PhD,Education,Mumbai,Low,21.0,40200.0,2024-11-08
Employed,18-24,High school,Finance,Bangalore,High,,,2024-11-09
Employed,25-34,Bachelor’s,Retail,Bangalore,Low,22.0,,2024-11-10
,55+,PhD,Retail,Bangalore,Low,,99100.0,2024-11-11
Employed,25-34,PhD,Education,,Medium,,37200.0,2024-11-12
Employed,35-44,Master's,Healthcare,Hyderabad,High,,142900.0,2024-11-13
Unemployed,55+,High school,Technology,,High,,20300.0,2024-11-14
,,High school,Education,,,23.0,56600.0,2024-11-15
,45-54,PhD,,Urban,,,117800.0,2024-11-16
Employed,25-34,Bachelor’s,Retail,Hyderabad,High,,64800.0,2024-11-17
,55+,Bachelor’s,Healthcare,,Medium,0.0,28000.0,2024-11-18
Unemployed,45-54,Master's,Education,Urban,Medium,,,2024-11-19
Employed,55+,,Education,Suburban,High,,94900.0,2024-11-20
Unemployed,45-54,High school,Healthcare,Hyderabad,High,,16400.0,2024-11-21
Unemployed,45-54,Master's,Technology,Urban,High,,67300.0,2024-11-22
Employed,35-44,Diploma,Technology,Suburban,Low,,6300.0,2024-11-23
,25-34,Master's,Healthcare,Hyderabad,High,,,2024-11-24
Employed,35-44,PhD,Technology,Suburban,High,7.0,63200.0,2024-11-25
Unemployed,55+,Master's,Technology,,Medium,29.0,53800.0,2024-11-26
Unemployed,25-34,High school,Technology,Delhi,Medium,,106700.0,2024-11-27
Unemployed,55+,High school,Retail,Bangalore,High,,,2024-11-28
,25-34,Bachelor’s,Finance,Mumbai,Low,,15500.0,2024-11-29
Employed,,Master's,Healthcare,Urban,Medium,11.0,107100.0,2024-11-30
Employed,18-24,PhD,Healthcare,Delhi,Low,18.0,53800.0,2024-12-01
Unemployed,35-44,Master's,Technology,Urban,High,21.0,35200.0,2024-12-02
Employed,35-44,Diploma,Healthcare,Urban,Low,,,2024-12-03
,25-34,Bachelor’s,Technology,Hyderabad,,,46900.0,2024-12-04
Unemployed,45-54,High school,Technology,Rural,Low,23.0,149200.0,2024-12-05
Employed,18-24,PhD,Retail,Urban,Low,,37700.0,2024-12-06
Employed,45-54,Master's,,Rural,High,,121300.0,2024-12-07
Employed,25-34,Bachelor’s,,Urban,High,6.0,,2024-12-08
Employed,18-24,PhD,Retail,,Medium,,95900.0,2024-12-09
Employed,25-34,PhD,Healthcare,Rural,High,,100300.0,2024-12-10
Employed,18-24,,Healthcare,Mumbai,,,50400.0,2024-12-11
Employed,35-44,Diploma,Technology,Bangalore,Medium,,49900.0,2024-12-12
,18-24,,Technology,Urban,,,77300.0,2024-12-13
Employed,25-34,High school,Retail,Urban,Low,,8300.0,2024-12-14
Employed,45-54,High school,Retail,Delhi,Medium,28.0,112100.0,2024-12-15
Unemployed,25-34,Master's,Healthcare,Mumbai,High,,86900.0,2024-12-16
Unemployed,45-54,High school,Healthcare,,Medium,26.0,103800.0,2024-12-17
Employed,35-44,PhD,Healthcare,Suburban,Medium,26.0,,2024-12-18
Unemployed,55+,Master's,Healthcare,,Medium,9.0,,2024-12-19
Unemployed,25-34,Bachelor’s,Healthcare,Urban,,15.0,38400.0,2024-12-20
,18-24,High school,Education,,Low,10.0,82300.0,2024-12-21
Unemployed,25-34,High school,,Urban,High,,,2024-12-22
Employed,45-54,Master's,,Rural,Low,5.0,117600.0,2024-12-23
Unemployed,,Master's,,Suburban,High,,,2024-12-24
Unemployed,35-44,Bachelor’s,Technology,Bangalore,Low,,116700.0,2024-12-25
Employed,25-34,High school,,Mumbai,Medium,,,2024-12-26
Unemployed,,PhD,Healthcare,Urban,Medium,,94700.0,2024-12-27
Employed,,Diploma,Finance,,Medium,13.0,96200.0,2024-12-28
Unemployed,18-24,Bachelor’s,,Urban,Low,16.0,38800.0,2024-12-29
Employed,25-34,High school,Finance,Mumbai,High,,,2024-12-30
Employed,,Master's,Healthcare,Hyderabad,High,30.0,18100.0,2024-12-31
Unemployed,25-34,PhD,,Mumbai,High,8.0,128300.0,2025-01-01
Unemployed,45-54,PhD,,Mumbai,Medium,27.0,43200.0,2025-01-02
Unemployed,55+,Bachelor’s,,Mumbai,Medium,1.0,43700.0,2025-01-03
Unemployed,,High school,Healthcare,,Low,17.0,115300.0,2025-01-04
Unemployed,25-34,Diploma,Retail,Bangalore,Low,1.0,55600.0,2025-01-05
Unemployed,18-24,PhD,Technology,Urban,Medium,,105200.0,2025-01-06
Employed,55+,High school,Technology,Bangalore,High,,,2025-01-07
Unemployed,55+,High school,Education,,,19.0,145700.0,2025-01-08
Employed,45-54,Bachelor’s,Healthcare,Suburban,Low,,24000.0,2025-01-09
Unemployed,55+,Master's,,Bangalore,Medium,17.0,,2025-01-10
